# $Id$
# PcbXY Version 1.0
# Date: Sun 17 Oct 2010 23:37:20 GMT UTC
# Author: Richard Barlow
# Title: Power Board - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mils.  rotation in degrees.
# --------------------------------------------
R305,"sr_0603","sr-r-15k-0.1",5159.09,2295.28,180,top
R301,"0805","sr-r-75k-0.1-0805",5292.94,2295.28,180,top
U203,"TSSOP8","sr-ic-txs0102",1844.49,1182.10,90,top
J302,"camcon2","sr-cn-camcon2w",2435.06,348.44,180,bottom
J304,"camcon2","sr-cn-camcon2w",3143.71,348.44,180,bottom
R224,"sr_0603","sr-r-10k",2311.01,1178.78,270,top
U201,"TQFP64_10","sr-ic-msp430f247",3498.82,2694.89,180,top
R310,"sr_0603","sr-r-1k",5926.81,1192.92,0,top
R209,"sr_0603","sr-r-330",263.78,2123.66,90,top
R311,"sr_0603","sr-r-13k3",4263.78,2809.42,270,top
R216,"sr_0603","sr-r-10k",1598.43,1181.11,270,top
U103,"beagleboard","sr-asm-beagleboard",3143.04,1042.94,0,bottom
C101,"0805","sr-c-2u2-0805",1484.25,2952.76,0,top
R205,"sr_0603","sr-r-160k",438.62,1185.05,180,top
C207,"sr_0603","sr-c-100n",3629.92,3048.86,270,top
R210,"sr_0603","sr-r-100k",1070.87,1736.23,180,top
R242,"sr_0603","sr-r-330",4870.08,1649.61,90,top
C202,"sr_0603","sr-c-10n",2055.12,3537.77,90,top
J303,"battcon","sr-cn-battcon",5653.55,523.64,180,bottom
